coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Sun Mar 29 07:53:46 +0000 2020,,,,0,1244170871696019456,,,,en,,,1,1244169689036513280,CharlesKarden,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @CharlesKarden: Yep. We saw it coming, now it's happening. 
To fight back, trump* is trying to balance the voters by holding back life-s…",https://twitter.com/TheReddestRose/status/1244170871696019456,Thu Dec 29 23:49:48 +0000 2011,TheReddestRose,false,"""It is difficult to free fools from the chains they revere."" - Voltaire",70742,1272,1207,95,,The Blackest Heart,TheReddestRose,170206,,,false
,Sun Mar 29 07:34:18 +0000 2020,,,,0,1244165973772558336,,,,en,,,4516,1243980015571779584,johnnjenga,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @johnnjenga: German Air Force is flying covid19 corona virus patients from Italy to Germany using military air ambulances. Once they arr…,https://twitter.com/MishoMoney/status/1244165973772558336,Sat Feb 09 09:28:50 +0000 2013,MishoMoney,false,"Tweets about investing, monetary policy, finance and the state of the global economy... and getting more and more political (opinions are purely mine)",30361,898,1183,24,,Misho ILIEV 🦠😷😷😷🦠,MishoMoney,15727,,http://mihaililiev.jp,false
,Sat Mar 28 11:39:21 +0000 2020,sydneytalker,,,0,1243865256293740544,,,,en,,,927,1243827801276518400,Tobi99905503,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Tobi99905503: #sydneytalker
Watch a video of a movie that was released in 2018 Making reference to the corona virus 
Could this shii ac…",https://twitter.com/sharon_wilz/status/1243865256293740544,Mon Feb 06 15:32:36 +0000 2012,sharon_wilz,false,Certified Doctor😆#TEAMARSENAL #TEAMJESUS😉,33133,810,358,1,Gidi,willz chi,sharon_wilz,39389,,http://www.twittter.com/sharonblew,false
,Sat Mar 28 12:11:41 +0000 2020,,,,0,1243873393411330048,,,,en,,,599,1243675990238339075,nntaleb,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @nntaleb: Ordered masks on Amazon 2 weeks ago. The seller decided to not charge me. 
Will send money to rescue efforts as it is unfair f…",https://twitter.com/jmorbey123/status/1243873393411330048,Thu Mar 17 19:34:43 +0000 2011,jmorbey123,false,"""I'm turn'in tricks, I'm gett'in fixed, I'm back on bogey street""",1445,315,1575,35,"Toronto, Ontario","10xBagger,CFA",jmorbey123,73344,,,false
,Sat Mar 28 09:14:23 +0000 2020,,,https://twitter.com/diosy_pena/status/1243818604686200832,0,1243828774078222342,,,,en,,false,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Drug abuse https://t.co/akxyr74F1q,https://twitter.com/_goddesskelmary/status/1243828774078222342,Fri Jun 27 01:46:54 +0000 2014,_goddesskelmary,false,no one puts chai in a corner,41643,942,754,7,Vamonos bebe,QueenOfWands,_goddesskelmary,65724,,https://www.instagram.com/goddesskelmary,false
,Sun Mar 29 01:08:46 +0000 2020,,,,0,1244068952956903425,,,,en,,,14641,1243988789057466368,GovMurphy,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @GovMurphy: Can’t believe I have to say this at all, let alone for the second time. But here we are.

NO CORONA PARTIES. They’re illegal…",https://twitter.com/AhkofallAhks/status/1244068952956903425,Mon Dec 27 13:56:18 +0000 2010,AhkofallAhks,false,"Mumin,Abu,Day dreamer,Counter racist e-warrior,Lover,Fake Talib ul ilm,& Up-loader Of YouTube Audio Video's.",79140,798,2801,28,Where 🏡 are filled wit lead,Abu *****-*****,AhkofallAhks,52242,,http://www.youtube.com/channel/UCtbG9OQlYlfExA63x9jH2Bw,false
,Sun Mar 29 00:24:39 +0000 2020,,,,0,1244057851766755329,,,,en,,,59,1243715051694915584,MattyLivez,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @MattyLivez: this corona virus reminds me of my ex, toxic and tryna fuck with everyone",https://twitter.com/msecoy26/status/1244057851766755329,Mon Mar 17 20:38:28 +0000 2014,msecoy26,false,WCU 2021❤️,3491,68,999,1,"Cullowhee, NC",Micaela Secoy,msecoy26,156,,,false
,Sat Mar 28 15:30:42 +0000 2020,Corona,,,0,1243923475120689153,,,,en,,,32,1243738217859428353,DanielNewman,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @DanielNewman: YOU GUYS!!! I'm seeing buff young 20-40 year old healthy dudes dying of #Corona! This is NOT an ""OLD PEOPLE VIRUS!!"" Don'…",https://twitter.com/laudaturus/status/1243923475120689153,Wed Jan 04 19:40:36 +0000 2012,laudaturus,false,"Volli, fortissimamente volli",1403,274,747,24,,Laudaturus,laudaturus,3846,,,false
,Sun Mar 29 01:53:16 +0000 2020,,,https://worldisraelnews.com/israels-corona-death-toll-reaches-12-with-over-3000-plus-cases/,0,1244080150460891136,,,,en,,false,0,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Israel’s corona death toll reaches 12, over 3,600 total cases diagnosed https://t.co/11FkmzPABC",https://twitter.com/Babak_J_T/status/1244080150460891136,Fri Nov 23 18:37:06 +0000 2018,Babak_J_T,false,"Strong Zionist

Orthodox Jew by Choice

עם ישראל חי",12290,1035,2650,2,,Babak Jabbarzadeh Tabrizi,Babak_J_T,57389,,,false
,Sat Mar 28 20:01:27 +0000 2020,NationSalutesCoronaFighters,,,0,1243991613107470339,,,,en,,,29,1243835087088758784,khalid_tanawish,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @khalid_tanawish: #NationSalutesCoronaFighters 
Pakistan's corona-warriors working tirelessly to keep Covid-19 at bay. https://t.co/va15…",https://twitter.com/jalpari523/status/1243991613107470339,Sun Mar 11 06:34:01 +0000 2012,jalpari523,false,"‏‏‏‏‏‏‏‏‏‏‏انسان کی عقل جب مکمل ہو جاتی ہے تو اس کی گفتگو مختصر ہو جاتی ہے(حضرت علی رضی اللّہ تعالیٰ.)
Fan 💕IMRAN KHAN,💕
Admin 
‎‎‎‎‎‎‎‎‎@TeamISF_
✌️",15327,1915,2864,2,,🖤ϻ𝐈Ⓝtε🖤,jalpari523,29750,,,false
